fecha;horas_totales_uso;horas_totales_disponibilidad;total_horas_servicio;media_disponibles;usos_abonado_anual;usos_abonado_ocasional;total_usos
01/01/2051;1085.25;52857.86;53943.11;2247.63;3215;0;3215
02/01/2051;1660.75;53083.18;54743.93;2281;5911;0;5911
03/01/2051;1768.85;52247.06;54015.91;2250.66;6180;0;6180
04/01/2051;1609.85;52156.96;53766.81;2240.28;5502;0;5502
05/01/2051;1666.27;52353.6;54019.87;2250.83;5389;1;5390
06/01/2051;1529.6;52979.18;54508.78;2271.2;4043;1;4044
07/01/2051;2408.37;52637.86;55046.23;2293.59;8833;0;8833
08/01/2051;2633.42;51652.76;54286.18;2261.92;10315;2;10317
09/01/2051;2900.6;51756.4;54657;2277.38;10623;1;10624
10/01/2051;2890.23;51538.33;54428.56;2267.86;10787;5;10792
11/01/2051;2354.82;51615.92;53970.74;2248.78;7407;32;7439
12/01/2051;2131.95;52087.77;54219.72;2259.16;6493;31;6524
13/01/2051;2543.57;52197.96;54741.53;2280.9;9581;16;9597
14/01/2051;2772.22;52333.38;55105.6;2296.07;10268;12;10280
15/01/2051;2840.87;55746.07;58586.94;2441.12;10410;32;10442
16/01/2051;3150.65;55958.88;59109.53;2462.9;11279;37;11316
17/01/2051;3200.52;55759.81;58960.33;2456.68;11216;63;11279
18/01/2051;1753.32;57163.88;58917.2;2454.88;5174;43;5217
19/01/2051;1939.72;56786.26;58725.98;2446.92;5794;48;5842
20/01/2051;2235.02;57018.67;59253.69;2468.9;7814;17;7831
21/01/2051;1903.8;57712.2;59616;2484;6611;11;6622
22/01/2051;2230.97;57385.03;59616;2484;8339;24;8363
23/01/2051;2912.61;56703.39;59616;2484;10505;47;10552
24/01/2051;2257.32;57358.68;59616;2484;7867;17;7884
25/01/2051;1498.87;58117.13;59616;2484;4533;20;4553
26/01/2051;2189.63;57426.37;59616;2484;6467;67;6534
27/01/2051;2352.36;57263.64;59616;2484;8493;10;8503
28/01/2051;2731.65;56884.35;59616;2484;10012;12;10024
29/01/2051;2945.27;56256.14;59201.41;2466.73;11184;21;11205
30/01/2051;3024.45;56591.55;59616;2484;11009;31;11040
31/01/2051;3283.57;56332.43;59616;2484;11585;72;11657
01/02/2051;2822.07;56793.93;59616;2484;8166;141;8307
02/02/2051;2307.11;57308.89;59616;2484;6866;73;6939
03/02/2051;3228.62;56387.38;59616;2484;11449;75;11524
