mes;ano;estacion;med_diurno;med_vespertino;med_nocturno;LAeq24;med_percentil01;med_percentil10;med_percentil50;med_percentil90;med_percentil99
01;2051;1;68.7;67.9;64.9;67.8;73.9;71.3;65.5;57.9;50.8
01;2051;2;70.2;69.6;67.1;69.3;75.5;71.3;67.8;61.2;55.3
01;2051;3;63.1;62.1;60.6;62.2;70.9;64.7;57.9;50.7;46.6
01;2051;4;-1;-1;-1;-1;-1;-1;-1;-1;-1
01;2051;5;63.4;62.8;64.5;63.7;71.3;63.6;58.3;46;40.5
01;2051;6;71.9;71.6;67.1;70.8;77.7;74.3;67.7;60;51.3
01;2051;8;66.8;66.1;63.5;65.8;72.6;68.9;64.1;56.3;47.1
01;2051;10;66.5;65.4;60.2;65;73.2;68.5;60.8;48.5;42.1
01;2051;11;68.8;67.7;62.2;67.3;73.6;70.4;65.6;51.7;40.6
01;2051;12;63.7;62.8;58.4;62.4;70.2;64.1;59.8;51.5;43.9
01;2051;13;62.4;57.3;68.5;64.3;69.5;64.4;53.8;42.9;37.8
01;2051;14;65.4;64.4;65;65.1;70.8;66.1;62.5;54.8;48.1
01;2051;16;62.6;62;57.3;61.3;67.8;65;59.2;43.1;36.7
01;2051;17;57.2;64.5;59.1;60;65.6;58.7;52.2;41.9;36.8
01;2051;18;59.6;62.5;70.9;56.4;67.6;58.9;51;42.2;38.8
01;2051;19;61.4;60.7;60.5;60.5;67.3;62.4;55.4;40.8;29.4
01;2051;20;61.7;61;57.4;60.5;68.2;62.6;56.5;43.8;38.9
01;2051;24;49.4;47.6;46;48.3;56.3;51;45.3;41.2;39.3
01;2051;25;68.4;67.7;63.5;67.2;72.7;69.6;66.6;58.9;50.2
01;2051;26;63.3;61.6;57.9;62.4;69;65.2;58.8;41;29.2
01;2051;27;63.4;62.2;57.8;61.9;72.3;66;54.8;44;36.6
01;2051;28;69.4;67.3;62;67.6;75.7;72.1;62.4;43.1;38.2
01;2051;29;59.3;56;50.7;57.2;66.4;61.5;50.7;34.8;32.3
01;2051;30;61.2;59.4;54;59.5;67;62.9;56.8;45.3;40.8
01;2051;31;64.8;64.5;55.4;63.2;73.2;68.1;55.2;44.1;39.9
01;2051;47;57.6;55.9;50.7;55.9;67.2;55.2;48;40.4;36.8
01;2051;48;63.5;63.3;59.2;62.4;68.6;65.8;61.1;53.3;45.1
01;2051;50;66.7;66.6;61.9;65.6;72;67.5;63.5;55.6;49
01;2051;54;62.1;62;59.8;61.4;67.8;64.3;59;44.9;38.8
01;2051;55;58.2;56.3;56.8;57.5;64.8;59.4;52.1;44.5;40.4
01;2051;86;58.3;57;54.8;57.2;66.6;60.5;51.1;38.8;36.2
02;2051;1;67.5;67.5;65.3;67;73.3;70.1;64.6;57.1;49.5
02;2051;2;69.7;69.3;66.7;68.8;75;70.8;67.4;61.1;55
02;2051;3;63.1;60.7;60.1;62;70.9;64.7;58.5;51;46.2
02;2051;4;-1;-1;-1;-1;-1;-1;-1;-1;-1
02;2051;5;61.5;61.1;53.7;60;67;62.7;58;45.4;39.1
02;2051;6;71.6;71;66.9;70.4;77.4;73.8;67.3;60;50.7
02;2051;8;66.1;65.3;62.6;65.1;71.8;68;63.1;55.6;45.2
02;2051;10;65.8;64.9;60;64.4;72.7;67.9;60.5;48.6;42.2
02;2051;11;68.6;67.6;62;67.1;73.4;69.8;65.3;51.4;40.4
02;2051;12;63.7;62.9;58.1;62.3;70;64;59.7;51.3;43.1
02;2051;13;63.1;56.7;50.4;60.5;70.5;64.9;53.4;41.6;35.8
02;2051;14;66.1;64.3;59.8;64.4;71.7;65.9;62.3;54.7;47.6
02;2051;16;62.2;61.3;56.4;60.8;67.3;64.3;58.6;41.9;35.5
02;2051;17;57.2;58.7;49.7;56.2;65.6;58.8;52.2;41.5;34.5
02;2051;18;58.3;57.6;50.2;56.4;66.7;58.9;51.3;42.5;39.2
02;2051;19;60.7;59.5;53.6;59.1;67;61.9;55.1;39.1;29.8
02;2051;20;60.7;60.5;53.5;59.3;66.9;62;56.2;43.3;38.1
02;2051;24;49.3;46.4;44;47.6;56;51;44.5;41.3;39.5
02;2051;25;67.3;66.8;62.6;66.1;70.5;68.5;66.1;58.8;49.9
02;2051;26;61.6;60.7;56.8;60.4;67.4;64.1;58.1;50.6;43.6
02;2051;27;62.3;61.4;57;61;71.6;65.2;53.4;43.4;35.6
02;2051;28;68.6;66.5;60.5;66.8;74.8;71.1;62.6;42.2;36.9
02;2051;29;57.8;55.8;50.2;56;64.9;60.4;50.6;35;33.1
02;2051;30;60.8;59.3;53.9;59.2;66.5;62.5;57;44.1;38.6
02;2051;31;63.5;63.2;53.1;61.9;72;66.7;54.1;43.3;38.5
02;2051;47;55.5;56.9;48.5;54.5;66.2;54.6;47.7;39;35.1
02;2051;48;63.6;63;59.2;62.4;68.8;65.5;61.1;53.7;45.8
02;2051;50;66.5;66;61.3;65.2;71.3;66.9;63.3;55.5;48.8
02;2051;54;61.2;61.1;53.7;59.8;66.7;63.4;58.1;44;36
02;2051;55;57.3;55.7;51.1;55.7;64.1;58.8;51.1;43.8;39.3
02;2051;86;58.3;56.7;50.1;56.5;66.2;60.2;51.3;39.3;36.1
03;2051;1;68.8;64.8;62;66.8;73;68.9;60.2;48.2;38.5
03;2051;2;67.8;66.5;64.2;66.6;73.4;69.6;63.6;54.5;47.8
03;2051;3;63.2;58.7;58.1;61.5;71.7;64.8;53.1;43.2;40.6
03;2051;4;-1;-1;-1;-1;-1;-1;-1;-1;-1
03;2051;5;59.9;59.4;52.4;58.4;66.3;61.2;54.4;42;36.4
03;2051;6;69.2;67.9;64.2;67.8;75.9;71.9;63.5;50.7;40
03;2051;8;63.2;62.2;59.5;62.1;70;65.8;58.8;46.4;38.4
03;2051;10;63.7;62.4;56.8;62.1;71.6;65.6;55.2;43.8;40.9
03;2051;11;66.7;65.1;60.6;65.1;72.7;68.8;60.6;44.3;37.4
03;2051;12;61.7;62.1;56;60.6;68.3;62.7;56.7;46;34.5
03;2051;13;58.6;57.7;49.9;57;66.5;61.1;48.7;38.8;35
03;2051;14;63.6;61.9;58.2;62.1;69;64.5;59.1;49.8;40.2
03;2051;16;60.4;58.8;54.3;58.9;66.8;63.2;54;37.7;33.1
03;2051;17;55.2;54.6;48.5;53.7;63.3;56.9;48.6;38.5;33.7
03;2051;18;55.4;55;49.6;54.1;63.8;56.5;47.4;40.9;38.5
03;2051;19;59.1;58.9;52.2;57.7;66.6;60.9;52.2;38.8;29.5
03;2051;20;60.2;58.7;55.8;58.9;66.7;60.8;54.2;39.9;36.3
03;2051;24;48.2;46.2;47.2;47.6;55.8;49.6;44.5;42.6;42
03;2051;25;66.3;64.7;61.4;64.9;70.9;67.9;64;53.8;43.2
03;2051;26;59.8;58;55.5;58.5;67.2;62.5;54.9;45.7;38.8
03;2051;27;61.1;60.4;55.2;59.7;71;62.4;49.7;39.4;33.4
03;2051;28;66.3;64.1;58.8;64.5;73.6;68.9;57.6;39.3;35.7
03;2051;29;56;54;48.7;54.3;64.3;58.7;46.4;35;33.2
03;2051;30;59.2;57.3;53.4;57.6;65.8;61.2;54.2;41.4;36.1
03;2051;31;61.3;60.1;50.9;59.5;71.2;63.2;49;40.5;36.3
03;2051;47;53.8;55.5;49.7;53.3;65.2;54;45.8;37.9;33.9
03;2051;48;61.3;60.2;57;60.1;67.9;63.9;57.1;46.1;37.8
03;2051;50;64.8;63.8;59.7;63.4;70;66;59.8;50;44.2
03;2051;54;62.3;58.7;52.8;60.2;69.1;62.6;54.3;40.2;33.4
03;2051;55;55.5;53.3;49.8;53.9;63.1;56.8;48.4;41.1;38.2
03;2051;86;56.2;55;49.3;54.6;65;58.2;47.6;38.5;36.4
04;2051;1;69.2;60.9;57.6;66.6;79.8;65.6;60.4;53.6;51.1
04;2051;2;65.4;63.7;60.6;64;71.7;67;59.5;51.6;45.4
04;2051;3;60.9;53.4;52.3;58.5;70.3;60.9;47;41.4;39.2
04;2051;4;-1;-1;-1;-1;-1;-1;-1;-1;-1
04;2051;5;57.6;57.9;49.4;56.3;64.7;58.6;51.3;38.1;34.9
04;2051;6;65.6;63.9;58.6;63.9;72.8;66.8;57.6;44.7;37.3
04;2051;8;60.7;58.9;54.8;59.1;68.1;62.5;54.3;42.4;37
04;2051;10;60.3;61.7;54.5;59.4;68.9;61;51.1;42.8;41
04;2051;11;63.6;63.1;55.4;62;70.3;65.5;56.2;39.5;36.6
04;2051;12;59.5;61.1;53.2;58.6;65.4;60;54.1;41;32
04;2051;13;53.3;56.1;47.5;52.8;62.4;54.7;45.3;37;33.3
04;2051;14;61;59.2;55.5;59.5;66.9;62.2;56;48;39.3
04;2051;16;58.2;57.1;51;56.6;65.6;60.7;49.2;34.2;31.4
04;2051;17;53.4;55.2;45.8;52.5;62.2;54.3;46.7;35.5;32.4
04;2051;18;55.5;55.2;47.7;54;64.6;55.2;45.9;39.7;37.5
04;2051;19;57.1;59;49;56.2;66.1;58.7;49.1;34.1;28.6
04;2051;20;59.1;59;49.5;57.6;66;59;53.2;37.6;35.8
04;2051;24;47.6;45.1;43.3;46.2;53.6;47.6;43.4;41.7;41.1
04;2051;25;64.8;62.3;59.9;63.3;70.2;67;61.4;49.6;38.9
04;2051;26;55.7;56.2;50.4;54.6;64.6;56.4;49.3;41.5;36.1
04;2051;27;58.1;57.7;51.4;56.7;68.5;57.7;46.1;35.4;30.9
04;2051;28;63.8;62;56.3;62;72.4;66;53.5;37.6;35.1
04;2051;29;55;51.2;45.6;52.9;63.5;55.6;44;34.4;33.1
04;2051;30;56.2;55.9;48.9;54.8;63.4;57.6;52.6;38.8;34.5
04;2051;31;58.5;57.3;47;56.6;69.7;56.7;46.2;40.3;37.1
04;2051;47;54;54.4;47.4;52.8;63.5;52.8;44.9;35.6;32.7
04;2051;48;58.9;57.3;55.1;57.7;67.8;59.8;52.5;41.8;35.7
04;2051;50;61.7;60.9;55.6;60.3;67.5;62.8;56;46.8;42.2
04;2051;54;56.9;57.8;49.5;55.7;64.5;59;49.7;37;32.9
04;2051;55;52.9;60.4;46.2;54.7;60.8;53.1;45.5;39.2;37.2
04;2051;86;54.1;54.4;46.7;52.8;63.2;55.7;46;37;35.5
05;2051;1;64.7;62.4;57.9;63;71;66.7;57.7;44.9;37.6
05;2051;2;66;65.6;60.9;64.9;72.8;67.6;60.8;52.7;46
05;2051;3;60.8;57.5;54;58.9;69.6;62;51.6;42.7;39.8
05;2051;4;-1;-1;-1;-1;-1;-1;-1;-1;-1
05;2051;5;58.6;59.6;51.7;57.5;65;59.8;53.9;42.1;35.8
05;2051;6;65.7;64.4;58.4;64.1;73;66.9;58.6;45.4;37.4
05;2051;8;63.1;62.2;57.1;61.6;70;64.7;57.5;46.9;39.3
05;2051;10;61.9;61.4;55.4;60.5;69.8;63.3;54;44.6;42
05;2051;11;65.4;73.5;57.3;67.5;74.3;67.3;59.5;41.7;37.3
05;2051;12;61.9;62;54.5;60.5;68.9;62.2;56.6;45.6;36.5
05;2051;13;58.3;56.6;49.8;56.5;66.3;58.5;49.6;39.3;35.8
05;2051;14;63.4;61.9;56.4;61.8;70.4;64.3;58.5;49.9;42.5
05;2051;16;58.5;57.2;52.3;57;65.5;60.8;51.6;36.3;32.7
05;2051;17;58.8;58.4;48.8;57.1;68.6;58.5;50.4;37.3;33.2
05;2051;18;55.2;55.4;48.2;53.9;63.6;55.8;47.9;40.8;38.6
05;2051;19;59.7;58.2;51.5;58;67.5;59.9;51.7;36.6;29.8
05;2051;20;60;61.2;51.4;58.9;67.8;60.4;53.9;38.7;35.7
05;2051;24;50;46.4;43.5;48.2;55.7;48.2;43.9;42.1;41.1
05;2051;25;65.2;64;59.6;63.9;70.7;67.3;62.2;51;38.6
05;2051;26;57.1;55.2;50.6;55.5;65.3;58.3;50.3;41.4;36.4
05;2051;27;58.6;57.2;52.8;57.1;69;58.4;47.7;37;30.9
05;2051;28;64.8;63;56.9;63;72.6;67.1;56.1;37.5;34.7
05;2051;29;56.9;54.5;47;54.9;63.9;57.5;46.1;34.8;33.2
05;2051;30;57.3;57.3;49.6;55.9;64.2;58.4;53;39.8;35.1
05;2051;31;59.5;58.5;48.8;57.7;69.6;59.8;49.1;41.6;37.4
05;2051;47;56.2;57.5;49.3;55.2;66.1;55.1;48.6;36.5;32.9
05;2051;48;58.4;59.6;57;58.2;68.3;59.5;53.3;45;37
05;2051;50;63.1;62.8;56.9;61.8;68.8;63.9;58.4;48.2;43
05;2051;54;58;57.2;50.7;56.5;64.8;59.9;53.2;38.8;33.6
05;2051;55;55.7;54;48.5;54;61.8;54.9;47.9;40.7;37.4
05;2051;86;58;56.3;47.7;56;65.2;57;47.8;38.3;36.2
06;2051;1;67.6;68.3;61.2;66.1;75.5;68;60.5;50.2;42
06;2051;2;68.2;67.3;63.1;67;73.5;68.6;63.7;56;49.8
06;2051;3;61.3;59.5;56;59.8;69.5;62.7;55.3;46.4;40.6
06;2051;4;-1;-1;-1;-1;-1;-1;-1;-1;-1
06;2051;5;60.4;65.6;53.7;60.9;67.4;62.3;57.2;45.7;38.4
06;2051;6;67.3;66.9;61.6;66;74.3;68.9;62.1;51.4;42.3
06;2051;8;65;65.1;61;64;71;66.9;62.2;53.4;48.1
06;2051;10;63.9;63.8;58.1;62.7;71;65.5;57.5;46.1;41.5
06;2051;11;67;71.5;60.9;67.2;73.8;68.5;63.1;48;39
06;2051;12;62.5;63.5;57.4;61.6;68.9;63.3;58.7;49.7;41.1
06;2051;13;57.4;58.4;51.6;56.4;64;58.2;52.4;42.5;34.8
06;2051;14;64.5;64.2;59.2;63.3;69.5;64.8;61.1;53.3;45.8
06;2051;16;59.8;59.2;53.9;58.4;65.7;61.9;55.5;39.9;33.7
06;2051;17;57.2;63;51.8;58.1;66.9;60;53.2;41.1;35.2
06;2051;18;57.1;56.6;49.6;55.6;65.2;57.8;50.4;42;38.5
06;2051;19;59.8;60.5;54.2;58.7;67.4;61.2;53.4;35.7;29.2
06;2051;20;61.5;59.9;53.6;59.8;68.3;61.4;55.8;44.3;37
06;2051;24;47.9;47.9;44.1;47;53.9;49.9;44.8;42;40.9
06;2051;25;66.3;65.6;61.3;65.1;70.4;67.7;64.4;56.3;45.9
06;2051;26;60.1;59;52;58.5;67.1;62.6;53.4;43.3;36.8
06;2051;27;60.1;58.7;53.5;58.5;69.5;62.4;49;38.1;32.1
06;2051;28;66.9;65.8;59;65.3;73.6;69.2;61;41.1;35.4
06;2051;29;58.7;59.6;52.2;57.6;66.8;60.5;52.7;38;33.6
06;2051;30;59;59.5;52.5;57.9;66.8;60.8;55.1;42.1;37.2
06;2051;31;60.9;61.7;51.6;59.6;70.3;64.1;51.3;42.5;37.3
06;2051;47;56.6;58.8;50.4;55.9;67.5;56.6;50.4;39.6;34.8
06;2051;48;59.8;59.9;55.2;58.7;66.9;61.1;56.7;49;43.1
06;2051;50;64.5;65.1;59.4;63.5;69.6;65.1;60.7;52;46
06;2051;54;59.6;59.6;52.5;58.2;65.3;61.1;55.8;41.8;35.3
06;2051;55;55.4;55.5;49.8;54.2;62.5;56.2;50.5;44.3;41.2
06;2051;86;56.7;57.6;50.9;55.7;64.9;58.8;50.7;40.4;36.6
07;2051;1;69.1;66.6;62.6;67.3;76.7;69;62;52.4;45
07;2051;2;67.6;67.1;63.6;66.6;73.5;68.7;64.4;57.2;51
07;2051;3;61.6;59.7;56.9;60.1;69.4;63;56;49.4;45.4
07;2051;4;-1;-1;-1;-1;-1;-1;-1;-1;-1
07;2051;5;60;61.9;55.1;59.4;66.3;61.9;57.2;47.5;41.2
07;2051;6;67.6;67.1;62.7;66.4;74.3;69.4;63;53.7;45.8
07;2051;8;65.5;65.2;61.6;64.5;71.6;66.9;62.5;54.4;48.5
07;2051;10;63.7;63.2;58.4;62.4;70.9;65.6;57.3;47;42.2
07;2051;11;66.7;65.9;60.2;65.2;71.8;68.3;62.8;48.7;40.1
07;2051;12;62.6;62.8;57.2;61.5;68.9;62.9;58.3;49.7;42.1
07;2051;13;58.9;58.4;53.6;57.6;67;60;53.3;45.7;38.5
07;2051;14;64.4;64.2;60;63.3;69.6;64.9;61.4;54.5;47.4
07;2051;16;59.6;59.1;54.3;58.4;65.4;62;55.9;41.6;35.9
07;2051;17;57.3;61.3;53.4;57.5;66.7;60.6;53.6;44.6;38.6
07;2051;18;57.2;56.8;50.5;55.8;65.9;58.4;50.5;42.7;39.4
07;2051;19;69.9;61.8;54.3;67.3;81.4;65.8;56.6;43.2;35.6
07;2051;20;60.8;59.2;53.5;59;68;61.2;55.2;46.1;39.1
07;2051;24;49.6;50.1;45.5;48.7;55.3;51.3;46.7;43.6;38.6
07;2051;25;66.4;65.8;61.9;65.2;70.3;67.7;64.9;58;49.2
07;2051;26;61.9;60.8;54.1;60.2;68.8;64.5;54.9;46.5;39.5
07;2051;27;60.7;58.9;54.7;59.1;69.7;63.3;49.9;42;34.6
07;2051;28;66.5;65.3;58.9;64.9;73.2;68.9;60.4;42.3;36.3
07;2051;29;57.8;56.8;52.9;56.4;64.8;59.7;52.6;39.5;34.4
07;2051;30;58.9;58.6;54.4;57.8;66.6;60.6;55.3;43.5;37.9
07;2051;31;60.6;62;52.6;59.6;70;64.1;50.9;44.2;38.6
07;2051;47;54.9;56.5;50.4;54.3;65;55.6;50.6;40.9;36.6
07;2051;48;59;58.4;54.3;57.8;65.1;60.3;56.2;49.5;46
07;2051;50;64.5;64.1;60;63.3;69.3;64.8;60.7;53;47.7
07;2051;54;58.8;59;53.1;57.6;64.7;60.8;55.8;44.5;36.8
07;2051;55;55.9;54.8;50.1;54.4;62.2;56.8;50.6;45.8;42.4
07;2051;86;59.3;54.5;49.6;57.1;66.5;57.3;48.9;42;36.8
08;2051;1;68;64.9;61.2;66.1;76.5;68.4;60.1;50.1;42.3
08;2051;2;67;66.9;63.1;66;72.8;68.3;63.5;56.4;50.4
08;2051;3;60.7;59.6;56.2;59.4;68.7;62;54.3;46.9;41.9
08;2051;4;-1;-1;-1;-1;-1;-1;-1;-1;-1
08;2051;5;60;61.3;53.9;59;66.3;61.4;56.2;46;39.6
08;2051;6;66.9;66.2;61.5;65.6;73.5;68.3;61.7;51.3;43.8
08;2051;8;64.7;64.3;60;63.5;70.8;66;60.8;52.3;47.4
08;2051;10;62.8;62.9;57.1;61.6;70.5;64.3;55.5;45.9;41.2
08;2051;11;65.7;64.6;58.3;64.1;71.3;67.4;60.5;45.5;39.5
08;2051;12;61.6;61.8;55.7;60.4;67.5;62;57;47.6;39.6
08;2051;13;56.1;57.2;53.7;55.7;63.8;57.5;51.5;44.1;37
08;2051;14;63.9;64.6;59.5;63;69.2;64.4;60.8;53.7;46.2
08;2051;16;59.6;58.9;54;58.3;65.5;61.7;54.4;40.1;34.7
08;2051;17;56.8;61.8;53.5;57.5;67.4;59.9;51.8;42.2;36.9
08;2051;18;58.3;56.6;50.3;56.5;66.7;58.9;50.3;42.1;38
08;2051;19;67.7;58.6;52.4;64.8;78.3;62.9;53.2;39.3;29.5
08;2051;20;59.4;59.3;52.1;58;66;59.9;54.3;44.8;39.1
08;2051;24;48.5;48.1;44.6;47.4;53.6;49.3;45.7;43.3;42
08;2051;25;66.2;65.7;61.5;65;71.1;67.5;64.5;57.5;48.4
08;2051;26;58.5;57.2;53.2;57.1;65.9;60.8;53.5;46.5;39.8
08;2051;27;61;57.3;54.2;59;69.5;61.2;49.4;42;34.9
08;2051;28;65.7;64.4;57.9;64;72.9;68.3;58.4;40.8;36.1
08;2051;29;56.2;55.7;51;55;63.9;58.7;49.5;38.1;34.3
08;2051;30;57.8;58;54.1;56.9;65.7;59.6;54.4;43.4;37.9
08;2051;31;60.1;60.9;50.8;58.8;70;62.7;49.8;43;38
